Data from Graph
  ==============

  Title		: Control : Moment - |e_x

  X Axis Title	: Axial Strain (mm/m)
  Y Axis Title	: Moment (kNm)

   Axial Strain (mm/m)		Moment (kNm)
Line type : 0
   0.000   	   -12.000
   0.000   	   -6.000
   0.000   	   0.000
   0.000   	   6.000
   0.000   	   12.000
   0.000   	   18.000
   0.000   	   24.000
   0.000   	   30.000
   0.000   	   36.000
   0.000   	   42.000
   0.000   	   48.000
   0.000   	   54.000
   0.000   	   60.000
   0.000   	   66.000
   0.000   	   72.000
   0.000   	   78.000
   0.000   	   84.000
   0.000   	   90.000
   0.000   	   96.000
   0.000   	   102.000
   0.000   	   108.000
   0.000   	   114.000
   0.000   	   120.000
   0.000   	   126.000
   0.000   	   132.000
   0.000   	   138.000
   0.000   	   144.000
   0.000   	   150.000
   0.000   	   156.000
   0.000   	   162.000
   0.000   	   168.000
   0.000   	   174.000
   0.000   	   180.000
   0.000   	   186.000
   0.000   	   192.000
   0.000   	   198.000
   0.000   	   204.000
   0.000   	   210.000
   0.000   	   216.000
   0.000   	   222.000
   0.000   	   228.000
   0.000   	   234.000
   0.000   	   240.000
   0.000   	   246.000
   0.000   	   252.000
   0.000   	   258.000
   0.000   	   264.000
   0.000   	   270.000
   0.000   	   276.000
   0.000   	   282.000
   0.000   	   288.000
   0.000   	   294.000
   0.000   	   300.000
   0.000   	   300.000
   0.000   	   300.000
   0.000   	   -248.700
   0.000   	   -248.700
   0.000   	   -223.500
   0.000   	   -223.500
   0.000   	   229.200
   0.000   	   229.200
   0.000   	   248.700
   0.000   	   248.700
   0.000   	   -300.000




  Data from Graph
  ==============

  Title		: Long. Reinforcement Stress

  X Axis Title	: Stress (MPa)
  Y Axis Title	: Beam Depth (mm)

   Stress (MPa)		Beam Depth (mm)
Line type : 0
   0.000   	   300.000
   0.000   	   -248.700
   340.000   	   -248.700
   340.000   	   -223.500
   0.000   	   -223.500
   0.000   	   229.200
   -195.076   	   229.200
   -195.076   	   248.700
   0.000   	   248.700
   0.000   	   -300.000
   
   
   
   
   
  Data from Graph
  ==============

  Title		: Long. Reinf Stress at Crack

  X Axis Title	: f_s_c_r_a_c_k (MPa)
  Y Axis Title	: Beam Depth (mm)

   f_s_c_r_a_c_k (MPa)		Beam Depth (mm)
Line type : 0
   0.000   	   300.000
   0.000   	   -248.700
   340.000   	   -248.700
   340.000   	   -223.500
   0.000   	   -223.500
   0.000   	   229.200
   0.000   	   229.200
   0.000   	   248.700
   0.000   	   248.700
   0.000   	   -300.000





Data from Graph
  ==============

  Title		: Longitudinal Concrete Stress

  X Axis Title	: Stress (MPa)
  Y Axis Title	: Beam Depth (mm)

   Stress (MPa)		Beam Depth (mm)
Line type : 0
   -20.885   	   300.000
   -22.343   	   287.175
   -22.633   	   274.350
   -21.760   	   261.525
   -19.936   	   248.700
   -17.906   	   238.950
   -15.377   	   229.200
   -13.164   	   221.743
   -10.767   	   214.286
   -7.106   	   203.571
   -3.313   	   192.857
   -2.357   	   190.179
   -1.400   	   187.500
   -0.921   	   186.161
   -0.442   	   184.821
   -0.322   	   184.487
   -0.203   	   184.152
   -0.083   	   183.817
   0.037   	   183.482
   0.276   	   182.813
   0.516   	   182.143
   0.755   	   181.473
   0.994   	   180.804
   1.114   	   180.469
   1.174   	   180.134
   0.589   	   179.799
   0.393   	   179.464
   0.295   	   179.129
   0.236   	   178.795
   0.197   	   178.460
   0.168   	   178.125
   0.147   	   177.790
   0.131   	   177.455
   0.118   	   177.121
   0.107   	   176.786
   0.098   	   176.451
   0.091   	   176.116
   0.084   	   175.781
   0.079   	   175.446
   0.069   	   174.777
   0.062   	   174.107
   0.056   	   173.438
   0.051   	   172.768
   0.047   	   172.098
   0.044   	   171.429
   0.038   	   170.089
   0.034   	   168.750
   0.030   	   167.411
   0.027   	   166.071
   0.023   	   163.393
   0.020   	   160.714
   0.016   	   155.357
   0.013   	   150.000
   0.010   	   139.286
   0.008   	   128.571
   0.005   	   107.143
   0.004   	   85.714
   0.003   	   64.286
   0.003   	   42.857
   0.002   	   0.000
   0.002   	   -42.857
   0.002   	   -85.714
   0.002   	   -128.571
   0.003   	   -171.429
   0.003   	   -214.286
   0.003   	   -218.893
   0.003   	   -223.500
   0.003   	   -236.100
   0.003   	   -248.700
   0.003   	   -274.350
   0.003   	   -300.000
   
